Year,Age,Ht,Wt,BMI,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds.1,Sk%,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD,Att.1,Yds.2,Y/A.1,TD.1,Y/G.1,2PM,Pts,PB,AP1
2017,25,77,237.0,28.1,13.0,13.0,265,440,60.23,3296,33,7,1,7.5,1.59,101.9,28,162,6.0,7.49,8.28,7.43,253.5,11.0,2.0,0.0,1.0,1.0,64,299,4.67,0,23.0,0.0,0,1,0
1996,28,76,211.0,25.7,8.0,2.0,74,127,58.27,839,2,0,0,1.6,0.0,83.4,7,58,5.2,6.61,6.92,6.13,104.9,2.0,0.0,0.0,1.0,1.0,2,7,3.5,0,0.9,0.0,0,0,0
2012,23,78,243.0,28.1,7.0,6.0,161,265,60.75,1699,6,5,1,2.3,1.89,79.1,20,131,7.0,6.41,6.02,5.13,242.7,1.0,5.0,0.0,1.0,1.0,11,42,3.82,1,6.0,0.0,6,0,0
2012,27,74,216.0,27.7,2.0,1.0,30,53,56.6,330,1,2,0,1.9,3.77,65.8,4,30,7.0,6.23,4.91,4.04,165.0,0.0,1.0,0.0,0.0,0.0,1,6,6.0,0,3.0,0.0,0,0,0
1985,33,76,216.0,26.3,5.0,5.0,69,111,62.16,738,5,1,0,4.5,0.9,92.8,18,158,14.0,6.65,7.14,4.92,147.6,0.0,5.0,0.0,0.0,0.0,5,9,1.8,0,1.8,0.0,0,0,0
2006,23,78,235.0,27.2,5.0,3.0,66,117,56.41,793,5,8,1,4.3,6.84,63.1,8,66,6.4,6.78,4.56,3.74,158.6,0.0,3.0,0.0,1.0,1.0,4,47,11.75,0,9.4,0.0,0,0,0
2007,29,73,235.0,31.0,12.0,12.0,208,325,64.0,2509,18,3,0,5.5,0.92,102.2,21,99,6.1,7.72,8.41,7.62,209.1,9.0,3.0,0.0,1.0,2.0,49,185,3.78,1,15.4,1.0,8,0,0
2012,25,76,225.0,27.4,13.0,7.0,136,218,62.39,1814,10,3,0,4.6,1.38,98.3,16,112,6.8,8.32,8.62,7.55,139.5,5.0,2.0,0.0,1.0,1.0,63,415,6.59,5,31.9,0.0,30,0,0
2009,21,75,220.0,27.5,10.0,10.0,201,377,53.32,2267,13,20,3,3.4,5.31,61.0,24,169,6.0,6.01,4.32,3.64,226.7,2.0,8.0,0.0,1.0,1.0,20,108,5.4,2,10.8,0.0,12,0,0
1993,25,78,240.0,27.7,13.0,7.0,133,233,57.08,1773,12,8,2,5.2,3.43,84.2,7,49,2.9,7.61,7.09,6.68,136.4,3.0,4.0,0.0,0.0,0.0,21,89,4.24,0,6.8,0.0,0,0,0
2005,35,75,217.0,27.1,16.0,16.0,317,507,62.52,4014,17,10,1,3.4,1.97,90.1,32,204,5.9,7.92,7.7,6.86,250.9,10.0,6.0,0.0,2.0,3.0,35,82,2.34,0,5.1,0.0,0,1,0
2012,24,76,207.0,25.2,16.0,16.0,282,484,58.26,3294,12,13,2,2.5,2.69,76.1,35,234,6.7,6.81,6.09,5.23,205.9,7.0,9.0,0.0,1.0,1.0,49,211,4.31,2,13.2,0.0,12,0,0
2004,29,75,214.0,26.7,11.0,10.0,233,336,69.35,2632,20,12,3,6.0,3.57,97.5,26,169,7.2,7.83,7.42,6.42,239.3,4.0,6.0,0.0,1.0,1.0,30,17,0.57,0,1.5,0.0,0,0,0
2018,21,74,212.0,27.2,16.0,7.0,99,170,58.24,1201,6,3,0,3.5,1.76,84.5,16,71,8.6,7.06,6.98,5.99,75.1,6.0,1.0,0.0,0.0,1.0,147,695,4.73,5,43.4,0.0,30,0,0
2007,27,75,230.0,28.7,3.0,2.0,54,79,68.35,501,5,1,0,6.3,1.27,101.3,6,31,7.1,6.34,7.04,6.18,167.0,2.0,0.0,0.0,0.0,0.0,12,14,1.17,1,4.7,0.0,6,0,0
2002,33,74,222.0,28.5,16.0,16.0,341,551,61.89,3658,27,16,0,4.9,2.9,85.6,26,188,4.5,6.64,6.31,5.7,228.6,12.0,4.0,0.0,3.0,3.0,25,73,2.92,0,4.6,0.0,0,1,0
2006,27,75,218.0,27.2,4.0,1.0,38,68,55.88,412,2,1,0,2.9,1.47,77.6,5,24,6.8,6.06,5.99,5.25,103.0,0.0,1.0,0.0,0.0,0.0,3,7,2.33,0,1.8,0.0,0,0,0
1988,24,74,197.0,25.3,13.0,9.0,178,336,52.98,2119,9,11,1,2.7,3.27,67.8,31,176,8.4,6.31,5.37,4.44,163.0,3.0,6.0,0.0,0.0,0.0,47,225,4.79,1,17.3,0.0,6,0,0
1997,29,76,211.0,25.7,8.0,4.0,83,140,59.29,1046,5,5,0,3.6,3.57,79.6,10,86,6.7,7.47,6.58,5.57,130.8,1.0,3.0,0.0,1.0,1.0,6,2,0.33,0,0.3,0.0,0,0,0
2008,27,76,220.0,26.8,2.0,1.0,12,23,52.17,83,2,2,0,8.7,8.7,53.4,3,19,11.5,3.61,1.43,0.54,41.5,0.0,1.0,0.0,0.0,0.0,2,30,15.0,0,15.0,0.0,0,0,0
2010,27,77,232.0,27.5,9.0,8.0,93,156,59.62,1255,10,3,0,6.4,1.92,98.6,13,80,7.7,8.04,8.46,7.34,139.4,4.0,4.0,0.0,0.0,1.0,25,125,5.0,0,13.9,0.0,0,0,0
2007,29,76,222.0,27.0,9.0,5.0,154,240,64.17,1684,15,12,0,6.3,5.0,84.8,6,48,2.4,7.02,6.02,5.67,187.1,4.0,1.0,0.0,0.0,0.0,21,51,2.43,1,5.7,0.0,6,0,0
1993,30,76,212.0,25.8,4.0,4.0,76,110,69.09,850,5,5,0,4.5,4.55,88.1,7,33,6.0,7.73,6.59,5.91,212.5,4.0,0.0,0.0,2.0,2.0,18,110,6.11,1,27.5,0.0,6,0,0
1987,27,75,217.0,27.1,12.0,12.0,250,419,59.67,2798,19,11,0,4.5,2.63,83.8,27,239,6.1,6.68,6.4,5.48,233.2,6.0,6.0,0.0,2.0,2.0,29,133,4.59,0,11.1,0.0,0,1,0
2008,27,77,235.0,27.9,16.0,16.0,315,506,62.25,3245,13,6,0,2.6,1.19,84.3,38,266,7.0,6.41,6.39,5.46,202.8,8.0,8.0,0.0,1.0,3.0,47,258,5.49,1,16.1,0.0,6,0,0
1996,28,77,231.0,27.4,10.0,8.0,146,274,53.28,1624,12,7,0,4.4,2.55,75.1,19,120,6.5,5.93,5.65,4.88,162.4,4.0,4.0,0.0,2.0,2.0,21,87,4.14,0,8.7,0.0,0,0,0
1993,28,74,212.0,27.2,3.0,2.0,32,66,48.48,345,1,3,1,1.5,4.55,50.4,8,62,10.8,5.23,3.48,2.27,115.0,0.0,2.0,0.0,0.0,0.0,2,11,5.5,0,3.7,0.0,0,0,0
2009,26,73,217.0,28.6,7.0,4.0,82,150,54.67,1007,6,3,0,4.0,2.0,80.6,11,71,6.8,6.71,6.61,5.72,143.9,2.0,2.0,0.0,2.0,2.0,18,108,6.0,0,15.4,0.0,0,0,0
2018,23,75,230.0,28.7,16.0,16.0,383,580,66.03,5097,50,12,1,8.6,2.07,113.8,26,171,4.3,8.79,9.58,8.89,318.6,12.0,4.0,0.0,2.0,2.0,60,272,4.53,2,17.0,1.0,14,1,1
1993,24,74,209.0,26.8,16.0,15.0,233,457,50.98,3054,18,21,1,3.9,4.6,66.4,35,236,7.1,6.68,5.4,4.54,190.9,5.0,10.0,0.0,0.0,0.0,26,96,3.69,0,6.0,0.0,0,0,0
1998,29,74,222.0,28.5,16.0,16.0,347,551,62.98,4212,31,23,3,5.6,4.17,87.8,38,223,6.5,7.64,6.89,6.07,263.3,11.0,5.0,0.0,1.0,2.0,40,133,3.33,1,8.3,0.0,6,0,0
1999,34,75,210.0,26.2,16.0,16.0,304,515,59.03,3840,24,14,2,4.7,2.72,86.5,49,241,8.7,7.46,7.17,6.12,240.0,8.0,8.0,0.0,3.0,3.0,46,298,6.48,2,18.6,0.0,12,1,0
1985,27,76,223.0,27.1,10.0,8.0,117,233,50.21,1428,13,7,0,5.6,3.0,75.5,10,80,4.1,6.13,5.89,5.32,142.8,3.0,5.0,0.0,0.0,0.0,15,80,5.33,1,8.0,0.0,6,0,0
1989,26,77,212.0,25.1,16.0,16.0,304,518,58.69,4310,29,17,0,5.6,3.28,90.6,29,214,5.3,8.32,7.96,7.15,269.4,11.0,5.0,0.0,4.0,4.0,25,31,1.24,1,1.9,0.0,6,0,0
1998,37,74,215.0,27.6,15.0,15.0,322,517,62.28,4170,36,12,0,7.0,2.32,101.1,48,234,8.5,8.07,8.41,7.28,278.0,11.0,4.0,0.0,2.0,3.0,70,454,6.49,6,30.3,0.0,36,1,0
2017,27,79,240.0,27.0,6.0,4.0,96,172,55.81,1088,5,5,0,2.9,2.91,72.5,10,64,5.5,6.33,5.6,4.94,181.3,0.0,4.0,0.0,0.0,0.0,14,64,4.57,1,10.7,0.0,6,0,0
1988,33,74,200.0,25.7,10.0,6.0,83,173,47.98,1264,5,9,0,2.9,5.2,60.5,11,62,6.0,7.31,5.54,4.88,126.4,4.0,2.0,0.0,1.0,1.0,14,8,0.57,0,0.8,0.0,0,0,0
1996,32,73,200.0,26.4,4.0,4.0,73,150,48.67,781,3,6,0,2.0,4.0,54.3,7,53,4.5,5.21,3.81,3.3,195.3,1.0,3.0,0.0,0.0,0.0,8,4,0.5,0,1.0,0.0,0,0,0
2008,25,78,235.0,27.2,10.0,9.0,142,283,50.18,1615,9,8,2,3.2,2.83,66.5,14,87,4.7,5.71,5.07,4.54,161.5,3.0,6.0,0.0,1.0,2.0,25,55,2.2,0,5.5,0.0,0,0,0
2009,37,77,247.0,29.3,7.0,6.0,119,216,55.09,1225,6,8,0,2.8,3.7,65.5,6,37,2.7,5.67,4.56,4.27,175.0,0.0,6.0,0.0,0.0,0.0,11,15,1.36,1,2.1,0.0,6,0,0
2009,26,75,231.0,28.9,16.0,16.0,336,555,60.54,3666,27,26,0,4.9,4.68,76.8,35,204,5.9,6.61,5.47,4.8,229.1,7.0,9.0,0.0,2.0,4.0,40,173,4.33,1,10.8,0.0,6,0,0
2011,31,74,230.0,29.5,16.0,16.0,346,522,66.28,4184,31,10,2,5.9,1.92,102.5,36,227,6.5,8.02,8.34,7.4,261.5,8.0,8.0,0.0,4.0,4.0,22,46,2.09,1,2.9,0.0,6,0,0
2013,25,74,228.0,29.3,7.0,7.0,111,183,60.66,1256,8,4,0,4.4,2.19,86.7,16,105,8.0,6.86,6.75,5.68,179.4,4.0,3.0,0.0,1.0,2.0,24,155,6.46,2,22.1,0.0,12,0,0
1997,31,75,228.0,28.5,15.0,14.0,259,460,56.3,2796,17,7,0,3.7,1.52,80.3,45,289,8.9,6.08,6.13,5.01,186.4,8.0,6.0,0.0,0.0,0.0,32,36,1.13,1,2.4,0.0,6,0,0
1995,33,76,215.0,26.2,16.0,16.0,293,520,56.35,3121,21,10,3,4.0,1.92,79.5,21,158,3.9,6.0,5.94,5.42,195.1,13.0,3.0,0.0,3.0,1.0,28,113,4.04,5,7.1,0.0,30,1,0
2000,38,70,180.0,25.8,11.0,5.0,132,231,57.14,1700,8,3,0,3.5,1.3,86.5,10,68,4.1,7.36,7.47,6.88,154.5,4.0,1.0,0.0,1.0,3.0,36,161,4.47,1,14.6,0.0,6,0,0
1992,32,76,215.0,26.2,16.0,16.0,249,422,59.0,3287,19,16,2,4.5,3.79,82.9,15,119,3.4,7.79,6.98,6.47,205.4,12.0,4.0,0.0,2.0,4.0,32,95,2.97,0,5.9,0.0,0,0,0
2000,32,77,235.0,27.9,12.0,11.0,228,365,62.47,2505,11,15,1,3.0,4.11,75.7,20,150,5.2,6.86,5.62,4.94,208.8,7.0,4.0,0.0,1.0,4.0,22,58,2.64,1,4.8,0.0,6,0,0
1994,32,73,202.0,26.6,6.0,2.0,54,93,58.06,804,4,0,0,4.3,0.0,100.8,4,33,4.1,8.65,9.51,8.77,134.0,2.0,0.0,0.0,1.0,2.0,4,22,5.5,0,3.7,0.0,0,0,0
2014,27,74,220.0,28.2,16.0,16.0,309,481,64.24,3398,19,17,2,4.0,3.53,83.5,21,124,4.2,7.06,6.26,5.75,212.4,10.0,5.0,1.0,4.0,3.0,60,169,2.82,4,10.6,0.0,30,1,0
2003,28,75,214.0,26.7,5.0,5.0,74,130,56.92,813,5,6,1,3.8,4.62,69.2,12,83,8.5,6.25,4.95,3.94,162.6,3.0,2.0,0.0,0.0,1.0,5,15,3.0,0,3.0,0.0,0,0,0
1987,27,76,210.0,25.6,12.0,12.0,234,393,59.54,2696,13,8,0,3.3,2.04,82.8,50,364,11.3,6.86,6.61,5.04,224.7,5.0,7.0,0.0,2.0,1.0,30,61,2.03,0,5.1,0.0,0,0,0
1990,28,75,205.0,25.6,16.0,16.0,223,387,57.62,2725,20,14,0,5.2,3.62,81.6,28,213,6.7,7.04,6.45,5.5,170.3,9.0,7.0,0.0,2.0,2.0,25,64,2.56,0,4.0,0.0,0,0,0
2011,29,74,228.0,29.3,16.0,16.0,353,569,62.04,3832,24,23,3,4.2,4.04,79.1,22,148,3.7,6.73,5.76,5.29,239.5,6.0,10.0,0.0,2.0,2.0,56,215,3.84,0,13.4,1.0,2,0,0
2017,30,74,220.0,28.2,16.0,16.0,297,496,59.88,3320,25,12,1,5.0,2.42,86.6,39,255,7.3,6.69,6.61,5.65,207.5,7.0,9.0,0.0,3.0,3.0,38,99,2.61,0,6.2,0.0,0,0,0
2001,24,76,220.0,26.8,16.0,16.0,272,454,59.91,3040,17,21,3,3.7,4.63,73.1,51,353,10.1,6.7,5.36,4.12,190.0,7.0,9.0,0.0,3.0,3.0,38,128,3.37,0,8.0,0.0,0,0,0
2005,27,76,220.0,26.8,12.0,11.0,188,330,56.97,2021,12,12,1,3.6,3.64,72.0,24,136,6.8,6.12,5.22,4.48,168.4,4.0,7.0,0.0,1.0,1.0,24,80,3.33,0,6.7,0.0,0,0,0
2012,31,77,235.0,27.9,6.0,1.0,32,51,62.75,265,2,2,0,3.9,3.92,72.8,6,49,10.5,5.2,4.22,2.91,44.2,0.0,1.0,0.0,0.0,0.0,7,28,4.0,0,4.7,0.0,0,0,0
2007,32,76,235.0,28.6,16.0,16.0,352,562,62.63,3966,28,12,0,5.0,2.14,91.4,33,204,5.5,7.06,7.09,6.36,247.9,10.0,6.0,0.0,2.0,2.0,39,89,2.28,0,5.6,0.0,0,1,0
1999,28,74,225.0,28.9,7.0,1.0,61,94,64.89,656,2,2,0,2.1,2.13,83.5,7,47,6.9,6.98,6.45,5.53,93.7,1.0,0.0,0.0,0.0,0.0,13,26,2.0,0,3.7,0.0,0,0,0
1988,23,74,212.0,27.2,13.0,13.0,184,351,52.42,2133,11,12,1,3.1,3.42,67.3,24,207,6.4,6.08,5.17,4.28,164.1,5.0,8.0,0.0,1.0,3.0,31,138,4.45,1,10.6,0.0,6,0,0
1987,27,76,215.0,26.2,12.0,12.0,164,294,55.78,2119,15,9,1,5.1,3.06,82.9,20,119,6.4,7.21,6.85,6.04,176.6,10.0,2.0,0.0,3.0,3.0,13,95,7.31,0,7.9,0.0,0,0,0
1991,26,76,224.0,27.3,9.0,5.0,78,154,50.65,846,5,10,0,3.2,6.49,50.9,17,134,9.9,5.49,3.22,2.12,94.0,0.0,5.0,0.0,1.0,1.0,26,111,4.27,0,12.3,0.0,0,0,0
2010,30,72,210.0,28.5,12.0,12.0,233,372,62.63,3018,21,6,0,5.6,1.61,100.2,34,210,8.4,8.11,8.52,7.29,251.5,8.0,3.0,0.0,4.0,3.0,100,676,6.76,9,56.3,0.0,54,1,0
1992,33,73,195.0,25.7,4.0,1.0,22,43,51.16,279,1,2,0,2.3,4.65,60.1,4,25,8.5,6.49,4.86,3.91,69.8,1.0,0.0,0.0,0.0,0.0,6,23,3.83,0,5.8,0.0,0,0,0
1998,22,77,230.0,27.3,16.0,16.0,326,575,56.7,3739,26,28,2,4.5,4.87,71.2,22,109,3.7,6.5,5.22,4.84,233.7,3.0,13.0,0.0,1.0,1.0,15,62,4.13,0,3.9,0.0,0,0,0
2006,36,75,217.0,27.1,8.0,8.0,121,198,61.11,1342,7,9,0,3.5,4.55,74.1,24,127,10.8,6.78,5.44,4.28,167.8,4.0,4.0,0.0,1.0,1.0,19,59,3.11,0,7.4,0.0,0,0,0
2004,33,74,214.0,27.5,10.0,9.0,174,277,62.82,2054,6,4,0,2.2,1.44,86.5,39,196,12.3,7.42,7.2,5.69,205.4,5.0,4.0,0.0,0.0,1.0,13,30,2.31,1,3.0,0.0,6,0,0
2013,31,76,225.0,27.4,9.0,6.0,153,254,60.24,1807,11,9,1,4.3,3.54,81.6,16,85,5.9,7.11,6.39,5.69,200.8,3.0,3.0,0.0,2.0,2.0,18,57,3.17,1,6.3,0.0,6,0,0
2006,24,77,240.0,28.5,15.0,15.0,280,469,59.7,3513,18,23,3,3.8,4.9,75.4,46,280,8.9,7.49,6.05,4.97,234.2,7.0,8.0,0.0,2.0,3.0,32,98,3.06,2,6.5,0.0,12,0,0
2015,21,76,231.0,28.1,16.0,16.0,312,535,58.32,4042,22,15,2,4.1,2.8,84.2,27,190,4.8,7.56,7.12,6.44,252.6,6.0,10.0,0.0,2.0,3.0,54,213,3.94,6,13.3,0.0,36,1,0
1990,27,77,210.0,24.9,13.0,13.0,230,423,54.37,2562,10,15,1,2.4,3.55,65.7,37,220,8.0,6.06,4.93,4.06,197.1,3.0,10.0,0.0,1.0,1.0,10,13,1.3,0,1.0,0.0,0,0,0
2011,22,76,235.0,28.6,15.0,14.0,210,413,50.85,2214,12,11,0,2.9,2.66,65.4,40,293,8.8,5.36,4.74,3.68,147.6,4.0,10.0,0.0,0.0,0.0,48,98,2.04,0,6.5,0.0,0,0,0
1994,36,73,193.0,25.5,14.0,7.0,131,212,61.79,1629,14,3,0,6.6,1.42,101.7,14,100,6.2,7.68,8.37,7.41,116.4,5.0,2.0,0.0,1.0,1.0,23,35,1.52,0,2.5,0.0,0,0,0
2014,26,73,215.0,28.4,2.0,2.0,45,77,58.44,435,2,2,1,2.6,2.6,72.2,3,15,3.8,5.65,5.0,4.63,217.5,2.0,0.0,0.0,1.0,1.0,10,35,3.5,0,17.5,0.0,0,0,0
1987,22,74,212.0,27.2,3.0,2.0,39,92,42.39,552,1,9,1,1.1,9.78,26.4,5,37,5.2,6.0,1.82,1.34,184.0,0.0,2.0,0.0,0.0,0.0,4,21,5.25,0,7.0,0.0,0,0,0
2009,30,77,235.0,27.9,16.0,16.0,282,466,60.52,3094,21,13,2,4.5,2.79,83.6,26,213,5.3,6.64,6.29,5.52,193.4,10.0,6.0,0.0,3.0,5.0,39,93,2.38,3,5.8,1.0,20,0,0
1994,31,77,212.0,25.1,16.0,16.0,346,540,64.07,3855,22,18,3,4.1,3.33,84.9,21,164,3.7,7.14,6.45,5.92,240.9,7.0,9.0,0.0,2.0,2.0,15,35,2.33,0,2.2,0.0,0,0,0
2008,25,75,231.0,28.9,16.0,16.0,384,616,62.34,4526,25,18,2,4.1,2.92,86.0,11,69,1.8,7.35,6.84,6.61,282.9,8.0,8.0,0.0,3.0,4.0,57,200,3.51,2,12.5,1.0,14,1,0
2008,23,76,217.0,26.4,16.0,16.0,265,434,61.06,3440,16,11,0,3.7,2.53,87.7,17,104,3.8,7.93,7.52,7.01,215.0,11.0,5.0,0.0,2.0,4.0,55,104,1.89,1,6.5,0.0,6,0,0
2004,33,76,220.0,26.8,4.0,3.0,30,60,50.0,329,1,2,1,1.7,3.33,58.3,6,37,9.1,5.48,4.32,3.36,82.3,2.0,1.0,0.0,0.0,1.0,9,15,1.67,0,3.8,0.0,0,0,0
2011,28,74,225.0,28.9,15.0,15.0,343,502,68.33,4643,45,6,0,9.0,1.2,122.5,36,219,6.7,9.25,10.5,9.39,309.5,14.0,1.0,0.0,0.0,1.0,60,257,4.28,3,17.1,0.0,18,1,1
1997,34,75,215.0,26.9,12.0,11.0,189,309,61.17,2060,10,4,0,3.2,1.29,86.2,41,256,11.7,6.67,6.73,5.21,171.7,2.0,9.0,0.0,0.0,0.0,36,206,5.72,0,17.2,0.0,0,0,0
2000,29,74,214.0,27.5,11.0,11.0,235,347,67.72,3429,21,18,4,6.1,5.19,98.3,20,115,5.4,9.88,8.76,7.97,311.7,8.0,3.0,0.0,1.0,2.0,18,17,0.94,0,1.5,0.0,0,1,0
1996,33,77,235.0,27.9,16.0,16.0,325,549,59.2,4177,33,19,3,6.0,3.46,88.7,34,270,5.8,7.61,7.25,6.37,261.1,4.0,12.0,0.0,2.0,3.0,34,188,5.53,2,11.8,1.0,14,1,0
1997,31,76,219.0,26.7,16.0,16.0,292,518,56.37,3283,19,12,1,3.7,2.32,78.0,33,269,6.0,6.34,6.03,5.18,205.2,6.0,10.0,0.0,3.0,3.0,25,79,3.16,0,4.9,0.0,0,0,0
1990,24,75,207.0,25.9,13.0,11.0,179,336,53.27,2010,12,13,0,3.6,3.87,67.2,10,76,2.9,5.98,4.96,4.59,154.6,6.0,5.0,0.0,2.0,4.0,20,25,1.25,0,1.9,0.0,0,0,0
2006,25,77,235.0,27.9,7.0,7.0,110,207,53.14,1297,10,6,1,4.8,2.9,76.5,7,55,3.3,6.27,5.93,5.48,185.3,2.0,5.0,0.0,1.0,1.0,24,107,4.46,0,15.3,0.0,0,0,0
2017,38,72,209.0,28.3,16.0,16.0,386,536,72.01,4334,23,8,1,4.3,1.49,103.9,20,145,3.6,8.09,8.27,7.71,270.9,11.0,5.0,0.0,2.0,2.0,33,12,0.36,2,0.8,0.0,12,1,0
1998,25,76,204.0,24.8,8.0,6.0,67,107,62.62,910,8,3,0,7.5,2.8,102.9,29,163,21.3,8.5,8.74,5.68,113.8,3.0,3.0,0.0,0.0,0.0,24,123,5.13,1,15.4,0.0,6,0,0
